,orig_name,name,url,volume,options,Напиток,Вкус,С содержанием сока,Степень газирования,Упаковка,Стандарты производства,Состав,Энергетическая ценность в 100 г,Углеводы в 100 г,Срок годности,brend,category,Цвет,Тип,Объем,Материал корпуса,Материал колбы,Сохраняет холод,Высота,Диаметр/ширина корпуса,Вес,Особенности,В комплекте,Основа,Разбавитель,Степень глянца,Количество компонентов,Нанесение,Область применения,Материал обработки,Для внутренних работ,Для наружных работ,УФ защита,Время высыхания,Яхтный лак,Влагостойкий,Сохраняет тепло,Объем упаковки,Класс вязкости SAE,Класс ACEA,Класс ACEA (подробно),Двигатель,Тип двигателя,Назначение,Допуски,Тип баллона,Газ,Вид,Объем баллона,Масса газа,Соединение,Рабочее давление,Масса,Диаметр,Дополнительная информация,Срок службы,Подключение к водопроводу,Использование,Фильтрующий модуль в комплекте,Накопительная емкость,Мощность,Прозрачный корпус,Без сахара,Тип воды,Материал упаковки,Вид воды,Артезианская,Газированная,Страна производства,Сырье пива,Способ обработки пива,Крепость,Количество в упаковке,Блок,Дегустационные характеристики,Энергетическая ценность в 100 мл,Углеводы в 100 мл,Столовая,Уровень минерализации,Материал,Количество фигурок в наборе,Персонаж,Тип питания,Для детского питания,Спортивный колпачок,С добавлением сока,Рекомендуемый возраст,Гипоаллергенный,path,Родниковая,С винтовой крышкой,Белки в 100 г,Жиры в 100 г,Средство,Спрей,Тип кожи,Эффект,Масла и экстракты,Не содержит,Способ применения,Форма выпуска,Содержание сахара,Сорт винограда,Рекомендации по употреблению,Вид напитка,Жирность,Органический продукт,С мякотью,Витамины и минералы,Газированный,Стимулирующее вещество,Способ обработки,Пол,Верхние ноты,Средние ноты,Базовые ноты
818,"Маунтин дью пэт 1,5л",Газированный напиток Mountain Dew Цитрус,https://market.yandex.ru/product--gazirovannyi-napitok-mountain-dew-tsitrus/208532093,"1,5",Газированный напиток Mountain Dew Цитрус,газированный напиток,,,сильногазированный,пластиковая бутылка,,"вода, регуляторы кислотности (Е330, E332(i)), ароматизаторы, стабилизаторы (E414, E440, E445), подсластители (E950, E951, E955), антиокислители (E300, E301), консервант (Е202, E211), кофеин (не более 150 мг/л), краситель (Е160a)",1 ккал,0.1 г,12 мес.,MTN DEW,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"хранить при температуре от 0`С до +35`С, с относительной влажностью воздуха не более 75%, после вскрытия хранить в холодильнике в течение 24 часов, не подвергать воздействию прямого солнечного света",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,"МИН,ВОДА БОРЖОМИ СТЕКЛО.0,5Л","Минеральная вода Borjomi газированная, стекло",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-steklo/162603235,"0,5","Минеральная вода Borjomi газированная, стекло;Минеральная вода Borjomi газированная, ПЭТ",,,,,,СТГ 50:2010,"гидрокарбонаты 3500-5000 мг/дм3, хлориды 250-500 мг/дм3, кальций 20-150 мг/дм3, магний 20-150 мг/дм3, натрий 1000-2000 мг/дм3, калий 15-45 мг/дм3; диоксид углерода,%: 0,34-0,42 мг/дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"хранить при температуре от +3°C до +30°C 2 года; минерализация: 5,0-7,5 г/л",,,,,,,,,минеральная,стекло,гидрокарбонатная натриевая,,да,,,,,,,,,,да,высокоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,"МИН.ВОДА НАРЗАН 0,5Л ЭЛИТА СТЕКЛО","Минеральная лечебно-столовая вода Нарзан натуральной газации, стекло",https://market.yandex.ru/product--mineralnaia-lechebno-stolovaia-voda-narzan-naturalnoi-gazatsii-steklo/170329184,"0,5","Минеральная лечебно-столовая вода Нарзан натуральной газации, стекло;Минеральная лечебно-столовая вода Нарзан газированная, стекло;Минеральная лечебно-столовая вода Нарзан газированная, ПЭТ;Минеральная лечебно-столовая вода Нарзан натуральной газации, ПЭТ",,,,сильногазированная,,ГОСТ Р 54316-2011,"анионы, г/дм3: гидрокарбонаты НСО3- 1000–1700 мг/л, сульфаты SO42- 250-500 мг/л, хлориды Cl- 50-150 мг/л, катионы, г/дм3: кальций Ca2+ 200–400 мг/л, магний Mg2+ 50–120 мг/л, натрий+калий Na+K+ 50-250 мг/л",,,24 мес.,Нарзан АО,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,стекло,гидрокарбонатно-сульфатная магниево-кальцевая,,да,,,,,,,,,,да,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,МИН.ВОДА НАРЗАН 1Л П/ГАЗ,"Минеральная лечебно-столовая вода Нарзан натуральной газации, ПЭТ",https://market.yandex.ru/product--mineralnaia-lechebno-stolovaia-voda-narzan-naturalnoi-gazatsii-pet/170329185,1,"Минеральная лечебно-столовая вода Нарзан натуральной газации, ПЭТ;Минеральная лечебно-столовая вода Нарзан газированная, ПЭТ;Минеральная лечебно-столовая вода Нарзан, газированная, ПЭТ",,,,,,ГОСТ Р 54316-2011,"гидрокарбонаты НСО3: 1000 – 1700 мг/л, сульфаты SO4: 250 – 500 мг/л, хлориды Cl: 50 - 200 мг/л, кальций Ca: 200 – 500 мг/л, магний Mg: 50 – 150 мг/л,  натрий+калий Na+K: 50 – 250 мг/л;
общая минерализация: 2,0-3,5 г/л",,,24 мес.,Нарзан АО,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"источник: Кисловодское месторождение, скважины 7-РЭ, 107Д, 2Б-бис",,,,,,,,,минеральная,пластик,гидрокарбонатно-сульфатная магниево-кальцевая,,да,,,,,,,,,,,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,"Минеральная вода BORJOMI ГАЗ. 0,75Л","Минеральная вода Borjomi газированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-pet/162661018,"0,75","Минеральная вода Borjomi газированная, ПЭТ",,,,,,СТГ 50:2010,"гидрокарбонаты: 3500-5000 мг / дм3, хлориды: 250-500 мг / дм3, кальций: 20-150 мг / дм3, магний: 20-150 мг / дм3, натрий: 1000-2000 мг / дм3, калий: 15-45 мг / дм3, минерализация: 5.0-7.5 г / л, диоксид углерода,%: 0.34-0.42 мг / дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,гидрокарбонатная натриевая,,да,,,,,,,,,,,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,"Минеральная вода EVIAN 1,5 л","Вода минеральная Evian негазированная, ПЭТ",https://market.yandex.ru/product--voda-mineralnaia-evian-negazirovannaia-pet/158326970,"1,5","Вода минеральная Evian негазированная, ПЭТ",,,,,,,"мг/л: кальций 70-90, магний 20-40, натрий + калий 10, SO4 15, CL 10, HCO3 340-370, NO3 3,9, SiO2 9-17, pH 7-8",,,24 мес.,Evian,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,разлита на источнике Кашат,,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-кальциевая,,,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,"МИНЕРАЛЬНАЯ ВОДА PERRIER  ЛИМОН СТ/Б, 0,33 Л","Минеральная вода Perrier газированная, со вкусом лимона, стекло",https://market.yandex.ru/product--mineralnaia-voda-perrier-gazirovannaia-so-vkusom-limona-steklo/163585854,"0,33","Минеральная вода Perrier газированная, со вкусом лимона, стекло;Минеральная вода Perrier газированная, стекло;Минеральная вода Perrier газированная, со вкусом лайма, стекло",,лимон,,сильногазированная,,,"Ca2+ 160 мг/л, Mg2+ 4,2 мг/л, Na+ 9,5 мг/л, SO42- 33 мг/л, NO3- 7,8 мг/л, K+ <1 мг/л, HCO3- 430 мг/л, Cl- 22 мг/л",2 ккал,,,Perrier,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,675 г/л, ph 5,5; состав: природная минеральная питьевая столовая вода Perrier, натуральный ароматизатор (лимон)",,,,,,,,,минеральная,стекло,гидрокарбонатно-кальциевая,,да,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,"Минеральная вода Sorgesana Италия • Газированная 0,5 л","Минеральная вода San Pellegrino газированная, стекло",https://market.yandex.ru/product--mineralnaia-voda-san-pellegrino-gazirovannaia-steklo/157247205,"0,5","Минеральная вода San Pellegrino газированная, стекло;Минеральная вода San Benedetto газированная, стекло;Питьевая вода Ferrarelle газированная, стекло",,,,,,,"мг/л: сульфаты - 402; бикарбонаты - 243; кальций - 164; хлориды - 49,4; магний - 49,5; натрий - 31,2; кремний - 7,1; стронций - 2,7; нитраты - 2,9; калий - 2,2; фториды - 0,5",,,30 мес.,San Pellegrino,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,952 г/л",,,,,,,,,минеральная,стекло,гидрокарбонатно-сульфатная магниево-кальцевая,,да,,,,,,,,,,да,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,"Минеральная вода Sorgesana Италия • Газированная 1,5 л","Вода минеральная лечебно-столовая Sanatorio газированная, ПЭТ",https://market.yandex.ru/product--voda-mineralnaia-lechebno-stolovaia-sanatorio-gazirovannaia-pet/171117200,"1,5","Вода минеральная лечебно-столовая Sanatorio газированная, ПЭТ;Вода минеральная Sulinka газированная, ПЭТ;Минеральная вода Magnesia газированная, ПЭТ;Вода минеральная Rudolfuv Pramen природная лечебно-столовая газированная ПЭТ;Вода минеральная Bilinska kyselka газированная пластик;Вода минеральная Fiuggi негазированная, стекло",,,,,,ТУ 9185-005-51993617-13,мг/л: гидрокарбонаты 1200-1800; сульфаты 700-1000; хлориды 200-450; кальций 150-350; магний<50; натрий+калий 600-1500,,,12 мес.,SanAtorio,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 3-5,2 г/л; хранить при температуре от +5 °C до +20 °C",,,,,,,,,минеральная,пластик,сульфатно-гидрокарбонатная кальциево-натриевая,,да,,,,,,,,,,,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,"Минеральная вода Sorgesana Италия • Негазированная 0,5 л","Минеральная вода NATIA негазированная, стекло",https://market.yandex.ru/product--mineralnaia-voda-natia-negazirovannaia-steklo/421250008,"0,5","Минеральная вода NATIA негазированная, стекло;Минеральная вода Acqua Panna негазированная, стекло",,,,,,,"мг/л: кальций - 36, хлориды - 14.5, магний - 6, нитраты - 9.8, натрий - 30, фториды -1.1, калий - 28, диоксид кремния - 88, гидрокарбонаты - 220, сульфаты - 4.5",,,24 мес.,NATIA,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pH - 6.3,,,,,,,,,минеральная,стекло,,,,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,"Минеральная вода Sorgesana Италия • Негазированная 1,5 л","Минеральная вода San Benedetto негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-san-benedetto-negazirovannaia-pet/164919153,"1,5","Минеральная вода San Benedetto негазированная, ПЭТ",,,,,,,"мг/л: HCO3 - 296, Ca - 51,4, Mg - 29,7, SiO2 - 16,7, NO3 – 9, Na - 6, SO4 - 4,2, Cl - 2,6, K - 0,9, F < 0,1",,,,San Benedetto,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-кальциевая,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,"Минеральная вода VITTEL без газа, Франция, 1,5 л","Минеральная вода Vittel негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-vittel-negazirovannaia-pet/157269137,"1,5","Минеральная вода Vittel негазированная, ПЭТ",,,,,,,"мг/л: Ca2+ 205, Mg2+ 40, Na+ 5, HCO3- 375, SO42- 370, NO3- 4; минерализация: 0,999 г/л",,,18 мес.,Vittel,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая природная столовая,,,,,,,,,минеральная,пластик,гидрокарбонатно-сульфатная магниево-кальцевая,,,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,МИНЕРАЛЬНАЯ ВОДА АКВА ПАННА НЕГАЗ.1 Л ПЭТ,"Минеральная вода Acqua Panna негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-acqua-panna-negazirovannaia-pet/157267115,1,"Минеральная вода Acqua Panna негазированная, ПЭТ",,,,,,,"бикарбонаты HCO3 106 мг/л; кальций Ca2+ 32,2 мг/л; сульфаты SO4 2 22,0 мг/л; хлориды Cl 7,8 мг/л; кремний SiO2 6,9 мг/л; натрий Na+ 6,6 мг/л; магний Mg2+ 6,5 мг/л; нитраты NO3 2,9 мг/л; калий К+ 0,8 мг/л",,,18 мес.,Acqua Panna,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,192 г/л; без ГМО",,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-кальциевая,,,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,"Минеральная вода Архыз 1,5 л газированная","Минеральная вода Архыз газированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-arkhyz-gazirovannaia-pet/158326401,"1,5","Минеральная вода Архыз газированная, ПЭТ",,,,,,ГОСТ Р 54316-2011,"мг/дм3: НСО3 150–200; Ca 25–50; Na + К 5–30; Mg 5–20; I 0,1;
минерализация: 0,2 – 0,35 мг/дм3",,,,Архыз (ЗАО Висма),Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"источник: скважина № 130-К с. Архыз, Карачаево-Черкесская Республика",,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-натриево-кальциевая,,да,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,"Минеральная вода Боржоми газ. 1,25л пэт","Минеральная вода Borjomi газированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-pet/162661018,"1,25","Минеральная вода Borjomi газированная, ПЭТ",,,,,,СТГ 50:2010,"гидрокарбонаты: 3500-5000 мг / дм3, хлориды: 250-500 мг / дм3, кальций: 20-150 мг / дм3, магний: 20-150 мг / дм3, натрий: 1000-2000 мг / дм3, калий: 15-45 мг / дм3, минерализация: 5.0-7.5 г / л, диоксид углерода,%: 0.34-0.42 мг / дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,гидрокарбонатная натриевая,,да,,,,,,,,,,,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,"МИНЕРАЛЬНАЯ ВОДА БОРЖОМИ ГАЗИРОВАННАЯ, ПЭТ, 0,5 л","Минеральная вода Borjomi газированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-pet/162661018,"0,5","Минеральная вода Borjomi газированная, ПЭТ;Минеральная вода Borjomi газированная, стекло",,,,,,СТГ 50:2010,"гидрокарбонаты: 3500-5000 мг / дм3, хлориды: 250-500 мг / дм3, кальций: 20-150 мг / дм3, магний: 20-150 мг / дм3, натрий: 1000-2000 мг / дм3, калий: 15-45 мг / дм3, минерализация: 5.0-7.5 г / л, диоксид углерода,%: 0.34-0.42 мг / дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,гидрокарбонатная натриевая,,да,,,,,,,,,,,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,"Минеральная вода БОРЖОМИ с газом 0,5 л","Минеральная вода Borjomi газированная, стекло",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-steklo/162603235,"0,5","Минеральная вода Borjomi газированная, стекло;Минеральная вода Borjomi газированная, ПЭТ",,,,,,СТГ 50:2010,"гидрокарбонаты 3500-5000 мг/дм3, хлориды 250-500 мг/дм3, кальций 20-150 мг/дм3, магний 20-150 мг/дм3, натрий 1000-2000 мг/дм3, калий 15-45 мг/дм3; диоксид углерода,%: 0,34-0,42 мг/дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"хранить при температуре от +3°C до +30°C 2 года; минерализация: 5,0-7,5 г/л",,,,,,,,,минеральная,стекло,гидрокарбонатная натриевая,,да,,,,,,,,,,да,высокоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,"Минеральная вода Боржоми, ст. бут. 500 мл","Минеральная вода Borjomi газированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-borjomi-gazirovannaia-pet/162661018,500,"Минеральная вода Borjomi газированная, ПЭТ;Минеральная вода Borjomi газированная, стекло",,,,,,СТГ 50:2010,"гидрокарбонаты: 3500-5000 мг / дм3, хлориды: 250-500 мг / дм3, кальций: 20-150 мг / дм3, магний: 20-150 мг / дм3, натрий: 1000-2000 мг / дм3, калий: 15-45 мг / дм3, минерализация: 5.0-7.5 г / л, диоксид углерода,%: 0.34-0.42 мг / дм3",,,12 мес.,Borjomi,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,гидрокарбонатная натриевая,,да,,,,,,,,,,,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,"Минеральная вода Виттель негаз. 0,5л пэт","Минеральная вода Vittel негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-vittel-negazirovannaia-pet/157269137,"0,5","Минеральная вода Vittel негазированная, ПЭТ",,,,,,,"мг/л: Ca2+ 205, Mg2+ 40, Na+ 5, HCO3- 375, SO42- 370, NO3- 4; минерализация: 0,999 г/л",,,18 мес.,Vittel,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая природная столовая,,,,,,,,,минеральная,пластик,гидрокарбонатно-сульфатная магниево-кальцевая,,,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,"МИНЕРАЛЬНАЯ ВОДА ВИТТЕЛЬ НЕГАЗ.1,5Л","Минеральная вода Vittel негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-vittel-negazirovannaia-pet/157269137,"1,5","Минеральная вода Vittel негазированная, ПЭТ",,,,,,,"мг/л: Ca2+ 205, Mg2+ 40, Na+ 5, HCO3- 375, SO42- 370, NO3- 4; минерализация: 0,999 г/л",,,18 мес.,Vittel,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая природная столовая,,,,,,,,,минеральная,пластик,гидрокарбонатно-сульфатная магниево-кальцевая,,,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,"Минеральная вода вольвик 0,5л пэт","Минеральная вода Volvic негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-volvic-negazirovannaia-pet/175230331,"0,5","Минеральная вода Volvic негазированная, ПЭТ",,,,,,,"кальций 12 мг/л, сульфаты 9 мг/л, магний 9 мг/л, калий 6 мг/л, бикарбонаты 74 мг/л, оксид кремния 32 мг/л, хлориды 15 мг/л",,,24 мес.,Volvic,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"общая минерализация 0,13-0,14 г/л",,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-кальциевая,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,"Минеральная вода вольвик 1,5л пэт","Минеральная вода Volvic негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-volvic-negazirovannaia-pet/175230331,"1,5","Минеральная вода Volvic негазированная, ПЭТ",,,,,,,"кальций 12 мг/л, сульфаты 9 мг/л, магний 9 мг/л, калий 6 мг/л, бикарбонаты 74 мг/л, оксид кремния 32 мг/л, хлориды 15 мг/л",,,24 мес.,Volvic,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"общая минерализация 0,13-0,14 г/л",,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-кальциевая,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,"Минеральная вода вольвик негазированная спорт 0,33л","Минеральная вода Volvic негазированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-voda-volvic-negazirovannaia-pet/175230331,"0,33","Минеральная вода Volvic негазированная, ПЭТ;Минеральная вода Vittel негазированная, ПЭТ спорт;Вода минеральная Evian негазированная, спорт ПЭТ;Вода минеральная Voss негазированная ПЭТ;Минеральная вода Volvic негазированная, ПЭТ спорт;Минеральная вода Volvic негазированная, ПЭТ с краном",,,,,,,"кальций 12 мг/л, сульфаты 9 мг/л, магний 9 мг/л, калий 6 мг/л, бикарбонаты 74 мг/л, оксид кремния 32 мг/л, хлориды 15 мг/л",,,24 мес.,Volvic,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"общая минерализация 0,13-0,14 г/л",,,,,,,,,минеральная,пластик,гидрокарбонатная магниево-кальциевая,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,"Минеральная вода дилижан лечебно\столовая газированная пэт 0,5л","Минеральная лечебно-столовая вода Нарзан газированная, ПЭТ",https://market.yandex.ru/product--mineralnaia-lechebno-stolovaia-voda-narzan-gazirovannaia-pet/170328363,"0,5","Минеральная лечебно-столовая вода Нарзан газированная, ПЭТ;Вода минеральная природная питьевая лечебно-столовая Липецкая Росинка газированная, ПЭТ;Вода минеральная лечебно-столовая Sairme газированная ПЭТ;Вода минеральная Rudolfuv Pramen природная лечебно-столовая газированная ПЭТ;Минеральная вода Эдельвейс газированная, ПЭТ;Вода минеральная Селивановская газированная, ПЭТ",,,,сильногазированная,,ГОСТ Р 54316-2011,"общая минерализация: 2,0-3,5 г/л;
гидрокарбонаты НСО3: 1000 – 1700 мг/л, сульфаты SO4: 250 – 500 мг/л, хлориды Cl: 50 - 200 мг/л, кальций Ca: 200 – 500 мг/л, магний Mg: 50 – 150 мг/л, натрий+калий Na++K+: 50 – 250 мг/л",,,24 мес.,Нарзан АО,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Кисловодское месторождение (скважины 7-РЭ, 107Д, 5/0, 5/0-бис, 2Б-бис)",,,,,,,,,минеральная,пластик,гидрокарбонатно-сульфатная магниево-кальцевая,,да,,,,,,,,,,да,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,"Минеральная вода ЕССЕНТУКИ № 4, № 17, 0,5 л",Вода минеральная Jevea газированная ПЭТ,https://market.yandex.ru/product--voda-mineralnaia-jevea-gazirovannaia-pet/543636043,"4,","Вода минеральная Jevea газированная ПЭТ;Вода минеральная Rudolfuv Pramen природная лечебно-столовая газированная ПЭТ;Вода минеральная Сенежская газированная, ПЭТ;Вода минеральная Черноголовская негазированная, ПЭТ;Минеральная лечебно-столовая вода Рычал-Су газированная, стекло;Вода минеральная Bilinska kyselka газированная пластик",,,,,,,,,,,JEVEA,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,сульфатно-гидрокарбонатно-натриевая,да,да,,,,,,,,,,да,слабоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,"Минеральная вода Ессентуки №4, №17 Холдинг Аква 1,5л","Вода минеральная лечебная Холдинг Аква Ессентуки №17, стекло",https://market.yandex.ru/product--voda-mineralnaia-lechebnaia-kholding-akva-essentuki-17-steklo/657120009,"4,","Вода минеральная лечебная Холдинг Аква Ессентуки №17, стекло;Вода минеральная лечебная Холдинг Аква Ессентуки №4, стекло;Вода минеральная Тэсти Ессентуки №17 газированная, ПЭТ;Вода минеральная Тэсти Ессентуки №17 газированная, стекло;Вода минеральная Аллея источников Ессентуки № 4 газированная, пластик;Вода минеральная Тэсти Ессентуки №4 газированная, стекло",,,,сильногазированная,,ГОСТ Р 54316-2011,гидрокарбонат (HCO3-): 4900—6500; сульфат (SO42-): < 25; хлорид (Cl-): 1700—2800; кальций (Ca2+): 50—200; магний (Mg2+): < 150; натрий+Калий (K++Na+): 2700—4000; борная кислота (H3BO3): 40—90;,,,,Холдинг Аква,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,стекло,гидрокарбонатная хлоридно-натриевая,,да,,,,,,,,,,да,высокоминерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,"Минеральная вода МТАБИ, Россия, 0,5 л","Вода минеральная Мтаби Нагутская-26 газированная, ПЭТ",https://market.yandex.ru/product--voda-mineralnaia-mtabi-nagutskaia-26-gazirovannaia-pet/559462168,"0,5","Вода минеральная Мтаби Нагутская-26 газированная, ПЭТ;Вода минеральная Prolom лечебно-столовая негазированная, ПЭТ;Вода минеральная Donat Mg газированная, ПЭТ;Вода минеральная Stelmas негазированная, ПЭТ;Вода минеральная Мтаби Нагутская-26 газированная, стекло;Минеральная лечебно-столовая вода Нарзан натуральной газации, ПЭТ",,,,,,ТУ 9185-003-50243825-02,"гидрокарбонаты 2300-4300 мг/л, сульфаты <150 мг/л, хлориды 150-600 мг/л, кальций <100 мг/л, магний <100 мг/л, натрий+калий 1000-3000 мг/л, минерализация, г/л 4,0-7,0",,,,Мтаби,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"после вскрытия хранить в холодильнике не более пяти суток; минимальная температура хранения 5С, максимальная температура хранения 26С",,,,,,,,,минеральная,пластик,гидрокарбонатная натриевая,,да,,,,,,,,,,да,маломинерализованная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
